,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
11782,33.137653,-97.08993000000001,https://www.realtor.com/realestateandhomes-detail/1308-Apache-Trl_Corinth_TX_76210_M78453-01453,Corinth,TX,76210.0,Active,Single Family Home,Traditional,449900.0,5.0,3.0,1.0,4255.0,0.25,12.0,2006.0,885257.5706569111,-435357.5706569111
11783,33.019192,-97.033053,https://www.realtor.com/realestateandhomes-detail/1346-Autumn-Trl_Lewisville_TX_75067_M86083-64364,Lewisville,TX,75067.0,Active,Single Family Home,nan,307400.0,4.0,2.0,1.0,2503.0,0.17300275482093663,12.0,1991.0,203569.70784775694,103830.29215224306
11784,32.99613,-96.905963,https://www.realtor.com/realestateandhomes-detail/1207-Golden-Gate-Dr_Carrollton_TX_75007_M81584-54169,Carrollton,TX,75007.0,Active,Single Family Home,Traditional,285999.0,3.0,2.0,0.0,1840.0,0.1289944903581267,12.0,1987.0,371266.0185446639,-85267.01854466391
11786,33.173671,-96.888542,https://www.realtor.com/realestateandhomes-detail/2416-Marble-Canyon-Dr_Little-Elm_TX_75068_M80692-23759,Little Elm,TX,75068.0,Active,Single Family Home,Traditional,355300.0,4.0,2.0,1.0,3087.0,0.17100550964187328,12.0,2003.0,292667.2232533099,62632.7767466901
11787,33.143370000000004,-97.110026,https://www.realtor.com/realestateandhomes-detail/5040-Splitrock-Dr_Denton_TX_76210_M88045-87892,Denton,TX,76210.0,Active,Single Family Home,Traditional,332000.0,4.0,3.0,0.0,2947.0,0.225,12.0,2015.0,370246.09786187613,-38246.09786187613
11788,33.14938,-96.897599,https://www.realtor.com/realestateandhomes-detail/8489-Lewis-Canyon-Dr_Frisco_TX_75036_M80919-33206,Frisco,TX,75036.0,Active Option Contract,Single Family Home,Traditional,550000.0,4.0,3.0,1.0,3737.0,0.24,12.0,2013.0,490315.245144963,59684.75485503703
11789,32.994606,-97.160825,https://www.realtor.com/realestateandhomes-detail/308-King-Ranch-Rd_Southlake_TX_76092_M79906-36000,Southlake,TX,76092.0,Active,Single Family Home,Traditional,1050000.0,5.0,5.0,1.0,5485.0,1.0,14.0,2005.0,1885783.100782363,-835783.100782363
11791,33.010245,-97.247713,https://www.realtor.com/realestateandhomes-detail/1012-W-Bluff-Way_Roanoke_TX_76262_M72749-57940,Roanoke,TX,76262.0,Active,Single Family Home,Traditional,509900.0,4.0,3.0,0.0,3533.0,0.19800275482093663,12.0,2016.0,448774.5004158461,61125.49958415388
11794,33.21772,-97.276648,https://www.realtor.com/realestateandhomes-detail/502-Holiday-Dr_Ponder_TX_76259_M75390-24442,Ponder,TX,76259.0,Active,Farms/Ranches,"Ranch,Traditional",339900.0,3.0,2.0,0.0,1709.0,4.78,3.0,1981.0,342349.3031280541,-2449.3031280540745
11795,33.063744,-97.334696,https://www.realtor.com/realestateandhomes-detail/18055-Bruno-Rd_Justin_TX_76247_M85511-25402,Justin,TX,76247.0,Active,Single Family Home,nan,449900.0,4.0,3.0,1.0,2975.0,1.0,9.0,2019.0,433947.4129619068,15952.587038093188
11796,33.047354,-97.018078,https://www.realtor.com/realestateandhomes-detail/1040-Stanford-Ln_Lewisville_TX_75067_M74269-86571,Lewisville,TX,75067.0,Active Option Contract,Single Family Home,Traditional,250000.0,3.0,2.0,0.0,1667.0,0.15500459136822772,3.0,1996.0,346587.50328558235,-96587.50328558235
11797,33.228629,-96.962372,https://www.realtor.com/realestateandhomes-detail/1117-Live-Oak-Dr_Providence-Village_TX_76227_M81936-44530,Providence Village,TX,76227.0,Active,Single Family Home,Craftsman,250000.0,3.0,2.0,0.0,1995.0,0.13000459136822773,9.0,2003.0,316728.7802437652,-66728.78024376521
11798,33.156139,-96.903256,https://www.realtor.com/realestateandhomes-detail/1624-Princess-Ln_Frisco_TX_75034_M77803-17170,Little Elm,TX,75036.0,Active,Single Family Home,nan,278000.0,3.0,2.0,1.0,2950.0,0.1429981634527089,10.0,2003.0,364313.2514715071,-86313.25147150707
11804,33.079147999999996,-96.894464,https://www.realtor.com/realestateandhomes-detail/4851-Westport-Dr-Unit-1D_The-Colony_TX_75056_M70834-03261,The Colony,TX,75056.0,Active,Condo/Townhome/Row Home/Co-Op,"Contemporary,Modern",599900.0,3.0,3.0,1.0,2837.0,1.4,49.0,2018.0,1040412.8040824125,-440512.8040824125
11805,33.375402,-96.996321,https://www.realtor.com/realestateandhomes-detail/7500-Colton-Ln_Pilot-Point_TX_76258_M81900-65287,Pilot Point,TX,76258.0,Active,Farms/Ranches,Ranch,735000.0,2.0,1.0,1.0,1523.0,5.08,2.0,2012.0,352092.2824761979,382907.7175238021
11806,33.063722999999996,-97.054307,https://www.realtor.com/realestateandhomes-detail/1710-Morning-Mist-Trl_Flower-Mound_TX_75028_M85374-21687,Flower Mound,TX,75028.0,Active Option Contract,Single Family Home,nan,399000.0,4.0,2.0,0.0,2390.0,0.24,3.0,1998.0,326049.0414321901,72950.9585678099
11808,33.185894,-96.85134000000001,https://www.realtor.com/realestateandhomes-detail/12927-Riverhill-Rd_Frisco_TX_75033_M87044-00224,Frisco,TX,75033.0,Active Option Contract,Single Family Home,Traditional,765000.0,3.0,3.0,1.0,3432.0,0.31,3.0,2015.0,481343.4283568633,283656.5716431367
11810,33.025314,-96.90953499999999,https://www.realtor.com/realestateandhomes-detail/4217-Wild-Plum-Dr_Carrollton_TX_75010_M80908-03583,Carrollton,TX,75010.0,Active,Single Family Home,nan,291000.0,3.0,2.0,0.0,1774.0,0.16099632690541782,10.0,1987.0,373997.9498515645,-82997.94985156448
11811,33.141421,-97.063228,https://www.realtor.com/realestateandhomes-detail/3000-Mason-Ave_Corinth_TX_76210_M81248-67803,Corinth,TX,76210.0,Pending,Single Family Home,nan,258000.0,4.0,2.0,0.0,1946.0,0.14600550964187328,7.0,1998.0,242427.6337618982,15572.366238101793
11812,33.097474,-97.12641500000001,https://www.realtor.com/realestateandhomes-detail/8555-Canyon-Xing_Lantana_TX_76226_M87349-18220,Lantana,TX,76226.0,Active,Single Family Home,Traditional,799000.0,5.0,5.0,0.0,4574.0,0.39,7.0,2010.0,1055671.9452063125,-256671.94520631246
